produkt,kategorie,einheit,bestand,mindestbestand,verkaufspreis,notiz
Met 0.5L,Met,Flasche,40,10,9.50,Honigwein 0.5L
Met 0.35L,Met,Flasche,0,5,10.00,Honigwein 0.35L
Met-Apfel 0.5L,Met,Flasche,0,5,11.00,Honigwein mit Apfel 0.5L
Met-Apfel 0.35L,Met,Flasche,0,5,10.50,Honigwein mit Apfel 0.35L
Met-Zimt 0.5L,Met,Flasche,0,5,11.00,Honigwein mit Zimt 0.5L
Met-Zimt 0.35L,Met,Flasche,0,5,10.50,Honigwein mit Zimt 0.35L
Met-Apfel-Zimt 0.5L,Met,Flasche,0,5,11.00,Honigwein Apfel-Zimt 0.5L
Met-Apfel-Zimt 0.35L,Met,Flasche,0,5,10.50,Honigwein Apfel-Zimt 0.35L
Salat,Gemüse,Stück,0,0,,Kopfsalat
Tomaten,Gemüse,kg,0,0,,Frische Tomaten
Radieschen,Gemüse,Bund,0,0,,Frische Radieschen
Kartoffeln,Gemüse,kg,0,0,,Frische Kartoffeln
Zwiebeln,Gemüse,kg,0,0,,Frische Zwiebeln
Knoblauch,Gemüse,Stück,0,0,,Frischer Knoblauch
Rote Rüben,Gemüse,kg,0,0,,Frische Rote Rüben
Kohlrabi,Gemüse,Stück,0,0,,Frischer Kohlrabi
Rotkraut,Gemüse,Stück,0,0,,Frisches Rotkraut
Weißkraut,Gemüse,Stück,0,0,,Frisches Weißkraut
Zucchini,Gemüse,kg,0,0,,Frische Zucchini
Äpfel,Obstbau,kg,0,0,,Frische Äpfel
Birnen,Obstbau,kg,0,0,,Frische Birnen
Kirschen,Obstbau,kg,0,0,,Frische Kirschen
Erdbeeren,Obstbau,kg,0,0,,Frische Erdbeeren
Himbeeren,Obstbau,kg,0,0,,Frische Himbeeren
